fid,ID_UNICO,nome_1KM,nome_5KM,nome_10KM,nome_50KM,nome_100KM,nome_500KM,QUADRANTE,MASC,FEM,POP,DOM_OCU,area,perimeter,xcoord,ycoord
"4567",1KME6953N10378,1KME6953N10378,5KME6950N10375,10KME6950N10370,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"12","13","25","6",1001978.59619141,4004.28235468911,-36.0386912772292,-8.06759762927973
"4568",1KME6953N10379,1KME6953N10379,5KME6950N10375,10KME6950N10370,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"0","0","0","0",1001979.8215332,4004.28424145796,-36.0392807600556,-8.05868798565875
"4569",1KME6953N10380,1KME6953N10380,5KME6950N10380,10KME6950N10380,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"51","40","91","23",1001980.9810791,4004.28599816547,-36.0398702042686,-8.0497782403436
"4570",1KME6953N10381,1KME6953N10381,5KME6950N10380,10KME6950N10380,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"0","0","0","0",1001982.25708008,4004.28798359663,-36.0404596099063,-8.04086839259571
"4571",1KME6953N10382,1KME6953N10382,5KME6950N10380,10KME6950N10380,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"0","0","0","0",1001983.40905762,4004.28972096063,-36.0410489765432,-8.0319584423074
"4572",1KME6953N10383,1KME6953N10383,5KME6950N10380,10KME6950N10380,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"2","1","3","1",1001984.59069824,4004.2915145106,-36.0416383047628,-8.02304838883
"4573",1KME6953N10384,1KME6953N10384,5KME6950N10380,10KME6950N10380,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"0","0","0","0",1001985.79211426,4004.2933499565,-36.042227594235,-8.01413823214579
"4574",1KME6953N10387,1KME6953N10387,5KME6950N10385,10KME6950N10380,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"0","0","0","0",1001989.46044922,4004.29897989242,-36.0439952317935,-7.98740714278762
"4575",1KME6953N10388,1KME6953N10388,5KME6950N10385,10KME6950N10380,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"12","8","20","4",1001990.56347656,4004.30061598322,-36.0445843668741,-7.97849657227228
"4576",1KME6953N10389,1KME6953N10389,5KME6950N10385,10KME6950N10380,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"3","2","5","1",934916.835693359,3806.66958095078,-36.0453676288312,-7.96986532494689
"4577",1KME6953N10390,1KME6953N10390,5KME6950N10390,10KME6950N10390,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"0","0","0","0",37531.2486572266,1102.7426511775,-36.0486638460983,-7.96484885929802
"4578",1KME6953N10401,1KME6953N10401,5KME6950N10400,10KME6950N10400,50KME6950N10400,100KME6900N10350,500KME6800N10350,ID_68,"4","6","10","2",1668.95202636719,270.98772941908,-36.0570074023066,-7.85883539350962
"4579",1KME6953N10402,1KME6953N10402,5KME6950N10400,10KME6950N10400,50KME6950N10400,100KME6900N10350,500KME6800N10350,ID_68,"0","0","0","0",140128.163330078,2286.30400538632,-36.0567092899086,-7.8527803599276
"4580",1KME6953N10403,1KME6953N10403,5KME6950N10400,10KME6950N10400,50KME6950N10400,100KME6900N10350,500KME6800N10350,ID_68,"0","0","0","0",365348.260498047,2742.86321161533,-36.0563043924919,-7.84454422580322
"4581",1KME6953N10404,1KME6953N10404,5KME6950N10400,10KME6950N10400,50KME6950N10400,100KME6900N10350,500KME6800N10350,ID_68,"0","0","0","0",590747.100585938,3191.45889018162,-36.055871959931,-7.83574917256139
"4582",1KME6953N10405,1KME6953N10405,5KME6950N10405,10KME6950N10400,50KME6950N10400,100KME6900N10350,500KME6800N10350,ID_68,"0","0","0","0",760084.886108398,3491.71490394385,-36.0557010493795,-7.82697649946854
"4583",1KME6953N10406,1KME6953N10406,5KME6950N10405,10KME6950N10400,50KME6950N10400,100KME6900N10350,500KME6800N10350,ID_68,"0","0","0","0",770603.459594727,3514.13079400423,-36.0562324117402,-7.81822545338737
